Record ID Number, ,NID ID,Primary Owner Type,Primary Purpose,latitude,longitude,City,County,Tract_Code,Tracts,Disadvantaged,State,Zip_Code,Congressional District,NID Height (Ft),NID Height Category,Year Completed,Year Completed Category,NID Storage (Acre-Ft),Normal Storage (Acre-Ft),Data Last Updated,Last Inspection Date,Inspection Frequency_Years,Hazard Potential Classification,Condition Assessment,Condition Assessment Date,EAP Prepared,Tract_Code,Block_Code,,Total_Population_Tract,White_Alone_Tract,White_Alone_Tract_Pct,Black_Alone_Tract,Black_Alone_Tract_Pct,Total_Population_Block,White_Alone_Block,White_Alone_Block_Pct,Black_Alone_Block,Black_Alone_Block_PCT
291,South Tyger River WCD 4c Mush Creek,SC01803,Private,Flood Risk Reduction,35.0452,-82.376,Travelers Rest,Greenville,004001,004001Greenville,FALSE,South Carolina,29690,"South Carolina, Congressional District 04",35,25-50 feet,1974,1970-1979,619,83,9/11/2024,2/6/2023,3,Significant,Fair,2/6/2023,Yes,4001,2027,,3206,2843,88.68%,130,4.05%,46,34,73.91%,5,10.87%
292,Barnwell Land CO Dam,SC02634,Private,Recreation,33.1456,-81.3868,Barnwell,Barnwell,970500,970500Barnwell,TRUE,South Carolina,29812,"South Carolina, Congressional District 02",19,Less than 25 feet,,Undetermined,60,40,9/15/2023,8/22/2017,5,Low,Poor,8/22/2017,Not Required,970500,1024,,3473,1645,47.37%,1661,47.83%,5,4,80.00%,1,20.00%
293,Stokes Farm Dam,SC03519,Private,Recreation,34.3636,-80.3381,Bethune,Kershaw,970100,970100Kershaw,TRUE,South Carolina,29009,"South Carolina, Congressional District 05",17,Less than 25 feet,,Undetermined,150,120,9/15/2023,4/5/2017,5,Low,Fair,4/5/2017,Not Required,970100,2120,,2634,1797,68.22%,661,25.09%,8,7,87.50%,0,0.00%
294,Anne Parks Short Branch Dam,SC03514,Private,Fish and Wildlife Pond,35.1349,-82.4362,Travelers Rest,Greenville,004004,004004Greenville,,South Carolina,29690,"South Carolina, Congressional District 04",26,25-50 feet,1953,1950-1959,40,28,9/15/2023,1/6/2023,2,High,Poor,1/6/2023,No,4004,2023,,1793,1690,94.26%,15,0.84%,298,295,98.99%,0,0.00%
295,Drawdy Pond Dam,SC00577,Private,Recreation,33.7005,-80.8257,Saint Matthews,Calhoun,950202,950202Calhoun,,South Carolina,29135,"South Carolina, Congressional District 06",27,25-50 feet,1969,1960-1969,78,50,9/15/2023,10/11/2022,2,High,Fair,10/11/2022,Yes,950202,2018,,3741,1512,40.42%,1992,53.25%,5,5,100.00%,0,0.00%
296,Drafts Pond Dam,SC00063,Private,Recreation,33.8255,-80.7272,Gadsden,Richland,011802,011802Richland,,South Carolina,29052,"South Carolina, Congressional District 06",7,Less than 25 feet,1967,1960-1969,154,77,9/15/2023,,5,Low,,,Not Required,11802,2020,,2676,245,9.16%,2294,85.72%,8,2,25.00%,6,75.00%
297,Lake Whelchel,SC00261,Public Utility,Recreation,35.1085,-81.6201,Gaffney,Cherokee,970203,970203Cherokee,,South Carolina,29341,"South Carolina, Congressional District 05",73,51-100 feet,1964,1960-1969,8701,4298,9/15/2023,7/27/2023,2,High,Fair,7/27/2023,Yes,970203,2015,,2728,1591,58.32%,759,27.82%,31,26,83.87%,0,0.00%
298,Rast Pond Dam,SC00568,Private,Recreation,33.7226,-80.9657,Swansea,Calhoun,950100,950100Calhoun,FALSE,South Carolina,29160,"South Carolina, Congressional District 06",19,Less than 25 feet,1957,1950-1959,96,56,9/11/2024,9/26/2023,3,Significant,Poor,9/26/2023,No,950100,2001,,5383,3528,65.54%,1511,28.07%,94,80,85.11%,6,6.38%
299,Mary M Bradley Dam,SC00373,Private,Recreation,33.8038,-81.5778,Batesburg,Aiken,020100,020100Aiken,FALSE,South Carolina,29006,"South Carolina, Congressional District 02",17,Less than 25 feet,1960,1960-1969,76,56,9/15/2023,8/9/2017,5,Low,Poor,8/9/2017,Not Required,20100,4013,,4877,3203,65.68%,1012,20.75%,145,12,8.28%,3,2.07%
300,Bagnal Builders Dam,SC00483,Private,Recreation,34.2182,-80.7606,Elgin,Kershaw,970907,970907Kershaw,,South Carolina,29045,"South Carolina, Congressional District 05",19,Less than 25 feet,1950,1950-1959,80,42,9/15/2023,3/27/2017,5,Low,Poor,3/27/2017,Not Required,970907,2003,,4962,3323,66.97%,1065,21.46%,360,282,78.33%,48,13.33%
301,City of Camden Dam,SC00473,Private,Recreation,34.2809,-80.5856,Camden,Kershaw,970500,970500Kershaw,FALSE,South Carolina,29020,"South Carolina, Congressional District 05",19,Less than 25 feet,1963,1960-1969,79,52,9/15/2023,3/31/2017,5,Low,Poor,3/31/2017,Not Required,970500,1026,,6087,3762,61.80%,1847,30.34%,12,8,66.67%,2,16.67%
302,Little River WCD Dam 16,SC02394,Private,Flood Risk Reduction,34.5107,-82.067,Laurens,Laurens,920301,920301Laurens,FALSE,South Carolina,29360,"South Carolina, Congressional District 03",32,25-50 feet,1988,1980-1989,40,15,9/15/2023,9/20/2017,5,Low,Fair,9/20/2017,Not Required,920301,3020,,3843,2787,72.52%,839,21.83%,11,9,81.82%,1,9.09%
303,Upper York Reservoir Dam,SC00665,Local Government,Water Supply,35.0022,-81.2531,York,York,061601,061601York,TRUE,South Carolina,29745,"South Carolina, Congressional District 05",20,Less than 25 feet,1926,1920-1929,190,159,9/11/2024,11/21/2023,2,High,Poor,11/21/2023,Yes,61601,1040,,3366,1531,45.48%,1528,45.40%,173,104,60.12%,63,36.42%
304,Brown Dam,SC00973,Private,Recreation,33.6841,-79.5463,Nesmith,Williamsburg,970400,970400Williamsburg,TRUE,South Carolina,29580,"South Carolina, Congressional District 06",16,Less than 25 feet,1969,1960-1969,144,52,9/15/2023,11/16/2017,5,Low,Poor,11/16/2017,Not Required,970400,1006,,2768,1171,42.30%,1535,55.46%,56,7,12.50%,49,87.50%
305,Seaton Acres Pond Dam,SC00560,Private,Recreation,34.4549,-82.4298,Honea Path,Anderson,011501,011501Anderson,,South Carolina,29654,"South Carolina, Congressional District 03",23,Less than 25 feet,1970,1970-1979,156,98,9/11/2024,1/24/2024,2,High,Fair,1/24/2024,No,11501,2014,,3367,3033,90.08%,194,5.76%,32,24,75.00%,5,15.63%
306,Wayne Hooks Dam,SC01014,Private,Recreation,34.1735,-79.0905,Nichols,Horry,010100,010100Horry,TRUE,South Carolina,29581,"South Carolina, Congressional District 07",8,Less than 25 feet,1965,1960-1969,84,24,9/15/2023,12/6/2017,5,Low,Not Rated,12/6/2017,Not Required,10100,3023,,2909,2111,72.57%,577,19.83%,14,8,57.14%,0,0.00%
307,Lake Zimmerman Dam,SC00742,Private,Recreation,34.8539,-81.8944,Spartanburg,Spartanburg,023804,023804Spartanburg,,South Carolina,29306,"South Carolina, Congressional District 04",37,25-50 feet,1939,1930-1939,790,582,9/11/2024,11/1/2022,2,High,Fair,11/1/2022,No,23804,2011,,3035,2611,86.03%,200,6.59%,128,115,89.84%,10,7.81%
308,Zeigler Pond Dam,SC00451,Private,"Fire Protection, Stock, Or Small Fish Pond",33.5737,-80.7884,Orangeburg,Orangeburg,010803,010803Orangeburg,,South Carolina,29118,"South Carolina, Congressional District 06",16,Less than 25 feet,1960,1960-1969,125,73,9/11/2024,11/7/2023,2,High,Fair,11/30/2021,Yes,10803,1009,,1941,515,26.53%,1363,70.22%,56,54,96.43%,2,3.57%
309,Lake Robinson Dam,SC00632,Private,Hydroelectric,34.4014,-80.1517,Hartsville,Darlington,010200,010200Darlington,TRUE,South Carolina,29550,"South Carolina, Congressional District 07",50,51-100 feet,1960,1960-1969,59659,33500,9/11/2024,6/26/2024,2,High,Fair,6/26/2024,Yes,10200,1054,,5294,4433,83.74%,548,10.35%,0,0,0.00%,0,0.00%
310,River Ridge Farms Dam,SC00435,Private,Recreation,33.5023,-80.9177,Orangeburg,Orangeburg,011500,011500Orangeburg,TRUE,South Carolina,29115,"South Carolina, Congressional District 06",16,Less than 25 feet,1970,1970-1979,102,52,9/15/2023,7/12/2017,5,Low,Fair,7/12/2017,Not Required,11500,3000,,3161,1038,32.84%,1936,61.25%,22,13,59.09%,8,36.36%
311,Martin Dam,SC01020,Private,Recreation,33.7877,-79.1756,Conway,Horry,070601,070601Horry,TRUE,South Carolina,29527,"South Carolina, Congressional District 07",10,Less than 25 feet,1950,1950-1959,78,48,9/15/2023,12/4/2017,5,Low,Poor,12/4/2017,Not Required,70601,3013,,4738,3778,79.74%,464,9.79%,0,0,0.00%,0,0.00%
312,Cheryl Templeton Dam,SC00202,Private,Recreation,33.8659,-81.5236,Batesburg,Lexington,021403,021403Lexington,TRUE,South Carolina,29006,"South Carolina, Congressional District 02",19,Less than 25 feet,1959,1950-1959,125,77,9/15/2023,4/4/2017,5,Low,Fair,4/4/2017,Not Required,21403,1024,,2178,1656,76.03%,201,9.23%,106,100,94.34%,3,2.83%
313,Huff Creek WCD Dam 2a,SC00008,Private,Flood Risk Reduction,34.6501,-82.3596,Pelzer,Greenville,003203,003203Greenville,,South Carolina,29669,"South Carolina, Congressional District 03",42,25-50 feet,1962,1960-1969,827,87,9/15/2023,2/6/2023,2,High,Fair,2/6/2023,Yes,3203,2025,,3948,2820,71.43%,815,20.64%,7,2,28.57%,0,0.00%
314,Lake Huntington Dam,SC00557,Private,Recreation,34.5348,-82.6444,Anderson,Anderson,001100,001100Anderson,FALSE,South Carolina,29621,"South Carolina, Congressional District 03",26,25-50 feet,1970,1970-1979,57,30,9/15/2023,6/13/2023,2,High,Fair,6/13/2023,Yes,1100,3029,,5625,4325,76.89%,683,12.14%,215,201,93.49%,4,1.86%
315,Johnstons Pond,SC01089,Private,Recreation,34.2759,-81.7067,Newberry,Newberry,950700,950700Newberry,TRUE,South Carolina,29108,"South Carolina, Congressional District 03",30,25-50 feet,1975,1970-1979,42,31,9/15/2023,10/3/2017,5,Low,Poor,10/3/2017,Not Required,950700,2014,,3893,2403,61.73%,1180,30.31%,58,57,98.28%,0,0.00%
316,Coastal Timber CO Dam,SC01012,Private,Recreation,33.9011,-79.0483,Conway,Horry,070701,070701Horry,FALSE,South Carolina,29526,"South Carolina, Congressional District 07",9,Less than 25 feet,1970,1970-1979,140,56,9/15/2023,3/23/2023,2,High,Poor,3/23/2023,No,70701,3003,,6589,4854,73.67%,1018,15.45%,161,141,87.58%,6,3.73%
317,Tolleson Pond Dam,SCD5048,Private,Recreation,33.7276,-81.1135,Swansea,Lexington,020803,020803Lexington,TRUE,South Carolina,29160,"South Carolina, Congressional District 02",16,Less than 25 feet,,Undetermined,156,102,9/15/2023,10/24/2022,3,Significant,Fair,10/24/2022,No,20803,1024,,3320,2332,70.24%,641,19.31%,159,148,93.08%,3,1.89%
318,Roland-Alvarez Pond Dam,SCD5055,Private,Recreation,34.0112,-81.1363,West Columbia,Lexington,020506,020506Lexington,FALSE,South Carolina,29169,"South Carolina, Congressional District 02",26,25-50 feet,,Undetermined,34,32,9/15/2023,10/24/2022,3,Significant,Poor,10/24/2022,No,20506,2034,,4562,3164,69.36%,596,13.06%,99,83,83.84%,13,13.13%
319,Longbranch LLC Duck Pond Dam,SCD5045,Private,Recreation,33.8734,-80.6682,Eastover,Richland,012000,012000Richland,TRUE,South Carolina,29044,"South Carolina, Congressional District 06",13,Less than 25 feet,,Undetermined,342,0,9/11/2024,10/31/2023,2,High,Poor,10/31/2023,No,12000,3053,,4610,1425,30.91%,2845,61.71%,11,0,0.00%,8,72.73%
320,Lake Charlotte Dam,SCD5034,Private,Recreation,34.9388,-81.0887,Rock Hill,York,061404,061404York,FALSE,South Carolina,29732,"South Carolina, Congressional District 05",28,25-50 feet,,Undetermined,130,73,9/15/2023,7/25/2023,2,High,Fair,7/25/2023,No,61404,1014,,3711,2668,71.89%,744,20.05%,141,127,90.07%,4,2.84%
321,Winthrop University Dam,SCD3670,Not Listed,,34.9413,-81.0139,Rock Hill,York,060102,060102York,FALSE,South Carolina,29730,"South Carolina, Congressional District 05",18,Less than 25 feet,,Undetermined,95,52,4/30/2021,8/28/2017,5,Low,Fair,8/28/2017,No,60102,1016,,2628,1966,74.81%,377,14.35%,0,0,0.00%,0,0.00%
322,Sabie Cathcart Dam,SC03529,Private,Recreation,34.4275,-81.0906,Winnsboro,Fairfield,960200,960200Fairfield,TRUE,South Carolina,29180,"South Carolina, Congressional District 05",25,25-50 feet,,Undetermined,46,0,9/15/2023,5/2/2017,5,Low,Fair,5/2/2017,Not Required,960200,3002,,3506,1708,48.72%,1643,46.86%,54,10,18.52%,43,79.63%
323,Tailings Pond Expansion,SC03527,Private,Tailings,33.8808,-81.1709,West Columbia,Lexington,020905,020905Lexington,TRUE,South Carolina,29170,"South Carolina, Congressional District 02",22,Less than 25 feet,,Undetermined,449.2,449.2,9/15/2023,4/12/2017,5,Low,Fair,4/12/2017,Not Required,20905,2005,,3677,2662,72.40%,519,14.11%,45,38,84.44%,2,4.44%
324,Carolina Country Club Pond Dam,SCD5067,,,34.87932601,-81.91164546,Spartanburg,Spartanburg,023804,023804Spartanburg,,South Carolina,29306,"South Carolina, Congressional District 04",27,25-50 feet,,Undetermined,296,,9/11/2024,4/15/2024,,Significant,Fair,4/15/2024,No,23804,1012,,3035,2611,86.03%,200,6.59%,45,43,95.56%,1,2.22%
325,Clifton Mills Pond 1 Dam,SC01061,Public Utility,Recreation,34.9829,-81.8235,Spartanburg,Spartanburg,022201,022201Spartanburg,TRUE,South Carolina,29307,"South Carolina, Congressional District 04",19,Less than 25 feet,,Undetermined,275,120,9/15/2023,6/5/2017,5,Low,Not Rated,6/5/2017,Not Required,22201,3003,,4552,3572,78.47%,527,11.58%,13,12,92.31%,0,0.00%
326,Fowler 2nd Pond Dam,SC01968,Private,Recreation,34.2799,-79.2745,Fork,Dillon,970500,970500Dillon,TRUE,South Carolina,29543,"South Carolina, Congressional District 07",10,Less than 25 feet,,Undetermined,77,33,9/15/2023,,5,Low,,,Not Required,970500,2008,,3731,2168,58.11%,1336,35.81%,2,0,0.00%,2,100.00%
327,Praters Pond Dam,SC02109,Private,Recreation,33.5647,-80.9165,Orangeburg,Orangeburg,010902,010902Orangeburg,,South Carolina,29118,"South Carolina, Congressional District 02",13,Less than 25 feet,1965,1960-1969,90,47,9/11/2024,10/31/2023,2,High,Unsatisfactory,10/31/2023,Yes,10902,1017,,6374,2016,31.63%,3795,59.54%,310,75,24.19%,233,75.16%
328,Hutto's Millpond Dam,SC02105,Private,Recreation,33.5567,-81.0569,Neeses,Orangeburg,011900,011900Orangeburg,TRUE,South Carolina,29107,"South Carolina, Congressional District 02",14,Less than 25 feet,1972,1970-1979,101,17,9/11/2024,10/10/2023,2,High,Fair,10/10/2023,Yes,11900,4008,,3952,2300,58.20%,1386,35.07%,85,42,49.41%,42,49.41%
329,Lake Jemike Dam 2,SC01199,Private,Recreation,34.7816,-83.1338,Walhalla,Oconee,030100,030100Oconee,TRUE,South Carolina,29691,"South Carolina, Congressional District 03",22,Less than 25 feet,1959,1950-1959,60,48,9/15/2023,8/23/2023,2,High,Fair,8/23/2023,No,30100,3030,,4164,3916,94.04%,18,0.43%,123,123,100.00%,0,0.00%
330,Santee Lakes Dam,SC02507,Private,Recreation,33.5478,-80.513,Elloree,Calhoun,950400,950400Calhoun,TRUE,South Carolina,29047,"South Carolina, Congressional District 06",20,Less than 25 feet,,Undetermined,80,45,9/15/2023,2/28/2017,5,Low,Fair,2/28/2017,Not Required,950400,2055,,3112,1817,58.39%,1130,36.31%,109,108,99.08%,0,0.00%
331,Bobby Mcbride Dam,SC02838,Private,Flood Risk Reduction,34.2194,-81.8188,Silverstreet,Newberry,950700,950700Newberry,TRUE,South Carolina,29145,"South Carolina, Congressional District 03",33,25-50 feet,,Undetermined,220,162,9/15/2023,10/4/2017,5,Low,Poor,10/4/2017,Not Required,950700,1071,,3893,2403,61.73%,1180,30.31%,12,11,91.67%,0,0.00%
332,Bowen's Pond Dam,SC01486,Private,Recreation,34.231,-80.7816,Elgin,Kershaw,970401,970401Kershaw,FALSE,South Carolina,29045,"South Carolina, Congressional District 05",27,25-50 feet,1955,1950-1959,110,20,9/11/2024,3/29/2022,3,Significant,Fair,3/29/2022,Yes,970401,2027,,4855,3835,78.99%,643,13.24%,9,3,33.33%,0,0.00%
333,Brodie Millpond,SC02830,Private,Flood Risk Reduction,33.8649,-81.4682,Leesville,Lexington,021403,021403Lexington,TRUE,South Carolina,29070,"South Carolina, Congressional District 02",20,Less than 25 feet,,Undetermined,270,160,9/11/2024,10/18/2023,3,Significant,Fair,10/18/2023,Yes,21403,1045,,2178,1656,76.03%,201,9.23%,91,77,84.62%,11,12.09%
334,Martha J Beckham Dam,SC02020,Private,Recreation,34.6347,-82.0211,Enoree,Laurens,920501,920501Laurens,FALSE,South Carolina,29335,"South Carolina, Congressional District 03",19,Less than 25 feet,1975,1970-1979,70,43,9/15/2023,9/19/2017,5,Low,Poor,9/19/2017,Not Required,920501,1026,,1799,1318,73.26%,349,19.40%,37,36,97.30%,0,0.00%
335,Moores Pond Dam,SC00088,State,Irrigation,34.1036,-80.9678,Columbia,Richland,011421,011421Richland,,South Carolina,29203,"South Carolina, Congressional District 06",18,Less than 25 feet,1968,1960-1969,114,58,9/11/2024,5/23/2024,2,High,Poor,5/23/2024,No,11421,1019,,4720,750,15.89%,3423,72.52%,14,4,28.57%,4,28.57%
336,Cane Creek WCD Dam 18a,SC01347,Private,Flood Risk Reduction,34.737,-80.7144,Lancaster,Lancaster,011002,011002Lancaster,TRUE,South Carolina,29720,"South Carolina, Congressional District 05",51,51-100 feet,1978,1970-1979,4731,394,9/11/2024,3/20/2024,2,High,Fair,3/20/2024,Yes,11002,1028,,4474,3509,78.43%,610,13.63%,67,57,85.07%,0,0.00%
337,Murray Pond Dam,SC01980,Private,Recreation,34.2,-79.8667,Florence,Florence,000102,000102Florence,FALSE,South Carolina,29501,"South Carolina, Congressional District 07",16,Less than 25 feet,1974,1970-1979,59,31,9/10/2024,11/14/2017,5,Low,Poor,11/14/2017,Not Required,102,1002,,6020,4333,71.98%,1041,17.29%,33,19,57.58%,4,12.12%
338,Miller Pond Dam,SC01971,Private,Recreation,33.983,-79.5109,Pamplico,Florence,001800,001800Florence,TRUE,South Carolina,29583,"South Carolina, Congressional District 07",18,Less than 25 feet,1955,1950-1959,50,26,9/15/2023,,5,Low,,,Not Required,1800,1000,,3331,2172,65.21%,920,27.62%,10,10,100.00%,0,0.00%
339,Jerry Holmes Dam,SC02774,Private,Flood Risk Reduction,33.7603,-81.5193,Batesburg,Aiken,020100,020100Aiken,FALSE,South Carolina,29006,"South Carolina, Congressional District 02",31,25-50 feet,1999,1990-1999,147,110,9/15/2023,8/2/2017,5,Low,Fair,8/2/2017,Not Required,20100,1029,,4877,3203,65.68%,1012,20.75%,19,13,68.42%,5,26.32%
340,Ballingtons Pond Dam,SC01371,Private,Recreation,33.8694,-81.2586,Lexington,Lexington,020909,020909Lexington,,South Carolina,29073,"South Carolina, Congressional District 02",24,Less than 25 feet,1957,1950-1959,72,48,9/15/2023,4/11/2017,5,Low,Poor,4/11/2017,Not Required,20909,1004,,2570,2100,81.71%,214,8.33%,306,268,87.58%,10,3.27%
341,Hughes Pond Dam,SC01281,Private,Recreation,34.0948,-80.8669,Columbia,Richland,011413,011413Richland,FALSE,South Carolina,29223,"South Carolina, Congressional District 02",30,25-50 feet,1954,1950-1959,324,216,9/15/2023,1/27/2023,2,High,Fair,1/27/2023,Yes,11413,3000,,9125,4056,44.45%,3517,38.54%,354,196,55.37%,96,27.12%
342,Phillips Pond Dam,SC01872,Private,Recreation,34.7929,-79.9426,Cheraw,Chesterfield,950501,950501Chesterfield,TRUE,South Carolina,29520,"South Carolina, Congressional District 07",14,Less than 25 feet,1965,1960-1969,80,57,9/15/2023,,5,Low,,,Not Required,950501,1001,,2034,911,44.79%,956,47.00%,24,22,91.67%,0,0.00%
343,Brown Pond Dam,SC01274,Private,Recreation,34.2496,-80.9462,Blythewood,Richland,010104,010104Richland,FALSE,South Carolina,29016,"South Carolina, Congressional District 02",32,25-50 feet,1971,1970-1979,71,58,9/15/2023,3/20/2017,5,Low,Fair,3/20/2017,Not Required,10104,2005,,5057,2608,51.57%,1870,36.98%,35,34,97.14%,0,0.00%
344,Joseph Headden Dam,SC02438,Private,Recreation,33.581,-81.1032,North,Orangeburg,011900,011900Orangeburg,TRUE,South Carolina,29112,"South Carolina, Congressional District 02",16,Less than 25 feet,,Undetermined,65,51,9/11/2024,10/17/2023,2,High,Fair,10/17/2023,Yes,11900,2001,,3952,2300,58.20%,1386,35.07%,66,61,92.42%,4,6.06%
345,Thomas J Holbrook Dam,SC02797,Private,Irrigation,33.9767,-80.5731,Sumter,Sumter,000201,000201Sumter,FALSE,South Carolina,29154,"South Carolina, Congressional District 05",15,Less than 25 feet,2000,Since 2000,300,176,9/15/2023,4/18/2017,5,Low,Fair,4/18/2017,Not Required,201,1067,,4220,2105,49.88%,1599,37.89%,0,0,0.00%,0,0.00%
346,Boyle Pond Dam,SC01431,Private,Recreation,33.8801,-80.4377,Sumter,Sumter,001703,001703Sumter,FALSE,South Carolina,29154,"South Carolina, Congressional District 05",15,Less than 25 feet,1957,1950-1959,1240,640,9/15/2023,3/2/2022,5,Low,Not Rated,3/2/2022,Not Required,1703,3013,,5379,3141,58.39%,1762,32.76%,102,44,43.14%,55,53.92%
347,Beaverdam-Warrior Creek WCD Dam 2,SC02064,Private,Flood Risk Reduction,34.6536,-82.0558,Gray Court,Laurens,920102,920102Laurens,FALSE,South Carolina,29645,"South Carolina, Congressional District 03",50,51-100 feet,1974,1970-1979,808,109,9/15/2023,9/21/2017,5,Low,Fair,9/21/2017,Not Required,920102,1026,,1751,1390,79.38%,153,8.74%,46,37,80.43%,0,0.00%
348,Bob James Dam,SC02698,Private,Fish and Wildlife Pond,35.0227,-82.4573,Travelers Rest,Greenville,003903,003903Greenville,TRUE,South Carolina,29690,"South Carolina, Congressional District 04",22,Less than 25 feet,1995,1990-1999,70,43.4,9/15/2023,5/10/2017,5,Low,Fair,5/10/2017,Not Required,3903,1025,,4470,3932,87.96%,134,3.00%,78,73,93.59%,0,0.00%
349,West Lake Dam,SC01428,Private,Recreation,33.8952,-80.4719,Wedgefield,Sumter,001801,001801Sumter,TRUE,South Carolina,29168,"South Carolina, Congressional District 05",11,Less than 25 feet,1970,1970-1979,84,54,9/15/2023,4/24/2017,5,Low,Fair,4/24/2017,Not Required,1801,1014,,3851,2171,56.37%,1359,35.29%,0,0,0.00%,0,0.00%
350,Dorothy B Rast Pond Dam,SC02284,Private,Recreation,33.5656,-80.6181,Elloree,Calhoun,950400,950400Calhoun,TRUE,South Carolina,29047,"South Carolina, Congressional District 06",17,Less than 25 feet,,Undetermined,103,38,9/15/2023,2/7/2023,2,High,Fair,2/7/2023,Yes,950400,2060,,3112,1817,58.39%,1130,36.31%,18,18,100.00%,0,0.00%
351,Jefferson Reservoir Dam,SC02693,Private,Water Supply,34.6749,-80.367,Jefferson,Chesterfield,950200,950200Chesterfield,TRUE,South Carolina,29718,"South Carolina, Congressional District 07",25,25-50 feet,1995,1990-1999,1100,573,9/11/2024,11/27/2023,3,Significant,Fair,11/27/2023,Yes,950200,3047,,4113,2801,68.10%,964,23.44%,15,0,0.00%,12,80.00%
352,August Pond Dam,SC01763,Private,Recreation,34.6633,-82.4058,Pelzer,Greenville,003303,003303Greenville,FALSE,South Carolina,29669,"South Carolina, Congressional District 03",30,25-50 feet,1968,1960-1969,88,67,9/15/2023,5/10/2017,5,Low,Poor,5/10/2017,Not Required,3303,2018,,5732,3239,56.51%,1769,30.86%,406,306,75.37%,48,11.82%
353,A M Withers Estate Dam,SC01228,Private,Recreation,34.2379,-82.0941,Greenwood,Greenwood,970602,970602Greenwood,,South Carolina,29649,"South Carolina, Congressional District 03",23,Less than 25 feet,1969,1960-1969,116,60,9/15/2023,10/5/2017,5,Low,Poor,10/5/2017,Not Required,970602,3029,,3390,1626,47.96%,1526,45.01%,12,6,50.00%,2,16.67%
354,Peachtree Investments Dam,SC01125,Private,Irrigation,33.7507,-81.8141,Trenton,Edgefield,970400,970400Edgefield,TRUE,South Carolina,29847,"South Carolina, Congressional District 03",28,25-50 feet,1977,1970-1979,50,40,9/15/2023,7/26/2017,5,Low,Poor,7/26/2017,Not Required,970400,2000,,3323,1648,49.59%,1364,41.05%,7,3,42.86%,1,14.29%
355,Eubanks Pond Dam,SC01481,Private,Recreation,34.6056,-80.4208,Jefferson,Kershaw,970200,970200Kershaw,TRUE,South Carolina,29718,"South Carolina, Congressional District 05",27,25-50 feet,1955,1950-1959,49,46,9/15/2023,,5,Low,,,Not Required,970200,1000,,2928,2481,84.73%,268,9.15%,10,9,90.00%,0,0.00%
356,Sidney Horton Pond Dam,SC01478,Private,Recreation,34.5021,-80.4344,Kershaw,Kershaw,970200,970200Kershaw,TRUE,South Carolina,29067,"South Carolina, Congressional District 05",19,Less than 25 feet,1960,1960-1969,54,36,9/15/2023,3/27/2017,5,Low,Fair,3/27/2017,Not Required,970200,1108,,2928,2481,84.73%,268,9.15%,0,0,0.00%,0,0.00%
357,Clarks Pond Dam,SC01618,Private,Recreation,33.2945,-81.1312,Denmark,Bamberg,960102,960102Bamberg,,South Carolina,29042,"South Carolina, Congressional District 06",13,Less than 25 feet,1963,1960-1969,85,44,9/15/2023,8/21/2017,5,Low,Poor,8/21/2017,Not Required,960102,4018,,3312,298,9.00%,2924,88.29%,8,0,0.00%,8,100.00%
358,Rabon Creek WCD Dam 32,SC02569,Local Government,Flood Risk Reduction,34.4772,-82.1433,Laurens,Laurens,920201,920201Laurens,FALSE,South Carolina,29360,"South Carolina, Congressional District 03",72,51-100 feet,1987,1980-1989,28000,7285,9/15/2023,5/18/2022,2,High,Fair,5/18/2022,Yes,920201,2016,,3196,2848,89.11%,178,5.57%,129,124,96.12%,0,0.00%
359,C F Sauer Dam 2,SC02542,Private,Recreation,34.4086,-82.4235,Honea Path,Abbeville,950100,950100Abbeville,,South Carolina,29654,"South Carolina, Congressional District 03",16,Less than 25 feet,,Undetermined,86,57,9/15/2023,9/28/2017,5,Low,Fair,9/28/2017,Not Required,950100,1056,,3094,2505,80.96%,412,13.32%,6,4,66.67%,0,0.00%
360,George West Pond Dam,SC01489,Private,Recreation,34.4031,-80.5109,Cassatt,Kershaw,970200,970200Kershaw,TRUE,South Carolina,29032,"South Carolina, Congressional District 05",25,25-50 feet,1967,1960-1969,88,64,9/15/2023,3/29/2017,5,Low,Poor,3/29/2017,Not Required,970200,2073,,2928,2481,84.73%,268,9.15%,32,32,100.00%,0,0.00%
361,Norma S Grice Dam,SC02275,Private,Recreation,33.8445,-81.5774,Batesburg,Aiken,020100,020100Aiken,FALSE,South Carolina,29006,"South Carolina, Congressional District 02",25,25-50 feet,,Undetermined,80,64,9/15/2023,8/7/2017,5,Low,Poor,8/7/2017,Not Required,20100,3025,,4877,3203,65.68%,1012,20.75%,11,8,72.73%,2,18.18%
362,Friddle Pond B Dam,SC01706,Private,Other,34.4579,-82.417,Honea Path,Anderson,011501,011501Anderson,,South Carolina,29654,"South Carolina, Congressional District 03",22,Less than 25 feet,1973,1970-1979,65,48,9/11/2024,12/19/2023,2,High,Fair,12/19/2023,No,11501,2012,,3367,3033,90.08%,194,5.76%,24,20,83.33%,2,8.33%
363,Laurel Lake Dam,SC01305,Private,Irrigation,33.5746,-81.9208,North Augusta,Aiken,020500,020500Aiken,FALSE,South Carolina,29860,"South Carolina, Congressional District 02",30,25-50 feet,1960,1960-1969,70,48,9/11/2024,4/16/2024,2,High,Fair,4/16/2024,Yes,20500,2011,,9244,6959,75.28%,1311,14.18%,720,556,77.22%,133,18.47%
